Time Stamp,Time Step,Participant ID,Take ID,Mode Message,Gripper PWM,Arm PWM,Object Index,Far Proximity Mode,Close Proximity Mode,Gripping Mode,Holding Object Mode,Haptic Controller Mode,Left Touch,Right Touch,Calibration Arm PWM,Pick Up Map ID,Pick Up Step,Ring Location,Object To Grab,Grab Status,Index Finger X,Index Finger Y,Index Finger Z,Thumb X,Thumb Y,Thumb Z,Pinch Aperture,Controller HitBox X,Controller HitBox Y,Controller HitBox Z,Controller Hitbox Rotation X,Controller Hitbox Rotation Y,Controller Hitbox Rotation Z,Object 0 X,Object 0 Y,Object 0 Z,Object 0 Rotation X,Object 0 Rotation Y,Object 0 Rotation Z,Object 1 X,Object 1 Y,Object 1 Z,Object 1 Rotation X,Object 1 Rotation Y,Object 1 Rotation Z,Object 2 X,Object 2 Y,Object 2 Z,Object 2 Rotation X,Object 2 Rotation Y,Object 2 Rotation Z,Physical Object 0 X,Physical Object 0 Y,Physical Object 0 Z,Physical Object 0 Rotation X,Physical Object 0 Rotation Y,Physical Object 0 Rotation Z,Physical Object 1 X,Physical Object 1 Y,Physical Object 1 Z,Physical Object 1 Rotation X,Physical Object 1 Rotation Y,Physical Object 1 Rotation Z
266680,10,108,2,-1,22,80,-1,False,False,False,False,Standby Mode,False,False,60,1,0,,-1,,0.001196036,0.04205442,-0.2646126,0.007029586,0.04492142,-0.2737073,0.01117867,0.5762537,0.02661595,0.06979603,-0.009521788,-0.06964365,-0.006509671,0.0632,1.259,0,0,0,0,-0.0205,1.259,0,0,0,0,-0.1115,1.259,0,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
266690,10,108,2,-1,22,80,-1,False,False,False,False,Standby Mode,False,False,60,1,0,,-1,,0.001196036,0.04205442,-0.2646126,0.007029586,0.04492142,-0.2737073,0.01117867,0.5762537,0.02661595,0.06979603,-0.009521788,-0.06964365,-0.006509671,0.0632,1.259,0,0,0,0,-0.0205,1.259,0,0,0,0,-0.1115,1.259,0,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
266700,10,108,2,-1,22,80,-1,False,False,False,False,Standby Mode,False,False,60,1,0,,-1,,0.001196036,0.04205442,-0.2646126,0.007029586,0.04492142,-0.2737073,0.01117867,0.5762537,0.02661595,0.06979603,-0.009521788,-0.06964365,-0.006509671,0.0632,1.259,0,0,0,0,-0.0205,1.259,0,0,0,0,-0.1115,1.259,0,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
266710,10,108,2,-1,22,80,-1,False,False,False,False,Standby Mode,False,False,60,1,0,,-1,,0.001155721,0.04222425,-0.2646126,0.006984986,0.04507792,-0.2736886,0.0111578,0.5763397,0.02658206,0.06975771,-0.008076197,-0.06923597,-0.006569374,0.0632,1.259,0,0,0,0,-0.0205,1.259,0,0,0,0,-0.1115,1.259,0,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
266720,10,108,2,-1,22,80,-1,False,False,False,False,Standby Mode,False,False,60,1,0,,-1,,0.001171192,0.04219267,-0.2645997,0.006980197,0.0451159,-0.2736752,0.01116492,0.5763205,0.02659299,0.06977585,-0.00847855,-0.06938148,-0.006555737,0.0632,1.259,0,0,0,0,-0.0205,1.259,0,0,0,0,-0.1115,1.259,0,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
266730,10,108,2,-1,22,80,-1,False,False,False,False,Standby Mode,False,False,60,1,0,,-1,,0.001171192,0.04219267,-0.2645997,0.006980197,0.0451159,-0.2736752,0.01116492,0.5763205,0.02659299,0.06977585,-0.00847855,-0.06938148,-0.006555737,0.0632,1.259,0,0,0,0,-0.0205,1.259,0,0,0,0,-0.1115,1.259,0,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
266740,10,108,2,-1,22,80,-1,False,False,False,False,Standby Mode,False,False,60,1,0,,-1,,0.001154119,0.04218024,-0.2645699,0.00699244,0.0451319,-0.2736525,0.01119333,0.5762734,0.02661077,0.06981014,-0.009351002,-0.06961937,-0.006567355,0.0632,1.259,0,0,0,0,-0.0205,1.259,0,0,0,0,-0.1115,1.259,0,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
266750,10,108,2,-1,22,80,-1,False,False,False,False,Standby Mode,False,False,60,1,0,,-1,,0.001153141,0.04221728,-0.2645362,0.007027769,0.0451014,-0.2736611,0.01122908,0.5762658,0.02660403,0.06983151,-0.009482581,-0.06965551,-0.006567626,0.0632,1.259,0,0,0,0,-0.0205,1.259,0,0,0,0,-0.1115,1.259,0,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
266760,10,108,2,-1,22,80,-1,False,False,False,False,Standby Mode,False,False,60,1,0,,-1,,0.001153141,0.04221728,-0.2645362,0.007027769,0.0451014,-0.2736611,0.01122908,0.5762658,0.02660403,0.06983151,-0.009482581,-0.06965551,-0.006567626,0.0632,1.259,0,0,0,0,-0.0205,1.259,0,0,0,0,-0.1115,1.259,0,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
266770,10,108,2,-1,22,80,-1,False,False,False,False,Standby Mode,False,False,60,1,0,,-1,,0.001153141,0.04221728,-0.2645362,0.007027769,0.0451014,-0.2736611,0.01122908,0.5762658,0.02660403,0.06983151,-0.009482581,-0.06965551,-0.006567626,0.0632,1.259,0,0,0,0,-0.0205,1.259,0,0,0,0,-0.1115,1.259,0,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
